Simulator Output
Simulator Output
Simulator Output
Simulator Output
Simulator Output
Simulator Output
Simulator Output
Simulator Output
Simulator Output
Simulator Output
V,uA
-1.0,-3.746962303800976
-0.997997997997998,-3.4504689037720406
-0.995995995995996,-3.7733704328385156
-0.993993993993994,-4.285792309240054
-0.991991991991992,-3.35917304779484
-0.98998998998999,-2.853428964694978
-0.987987987987988,-2.9567844988245344
-0.985985985985986,-3.2118431122065663
-0.983983983983984,-3.330241403092865
-0.9819819819819819,-3.0813596114526036
-0.97997997997998,-3.8399522691936205
-0.977977977977978,-3.651520550813453
-0.975975975975976,-3.4903300153382504
-0.973973973973974,-2.934910551971422
-0.9719719719719719,-3.419564865958865
-0.96996996996997,-3.284455960356268
-0.967967967967968,-3.754181305319753
-0.965965965965966,-3.4832981985101377
-0.963963963963964,-2.825997399235871
-0.9619619619619619,-2.723453800314175
-0.95995995995996,-2.8229451307181774
-0.957957957957958,-3.1286571786172956
-0.955955955955956,-2.853584892570731
-0.953953953953954,-3.3710250733295752
-0.9519519519519519,-3.119237170365192
-0.94994994994995,-2.9096915477550565
-0.9479479479479479,-2.8139742705677686
-0.9459459459459459,-3.1336631022625694
-0.943943943943944,-2.8189461979903605
-0.9419419419419419,-2.247472809325824
-0.93993993993994,-2.437171974598816
-0.9379379379379379,-2.659022594853749
-0.9359359359359359,-2.500452068068948
-0.933933933933934,-2.416715594013198
-0.9319319319319319,-2.5127623860151167
-0.92992992992993,-2.709884706847402
-0.9279279279279279,-2.716709079280857
-0.9259259259259259,-2.914530502426955
-0.9239239239239239,-2.521515925449178
-0.9219219219219219,-3.069771529225569
-0.91991991991992,-2.5177888628583247
-0.9179179179179179,-2.407513400804626
-0.9159159159159159,-2.3968461645199817
-0.9139139139139139,-2.5468679406203933
-0.9119119119119119,-1.8899716137355043
-0.9099099099099099,-2.5517826488008417
-0.9079079079079079,-2.5146985371902155
-0.9059059059059059,-2.6160374595621225
-0.9039039039039038,-2.948162002474311
-0.9019019019019019,-2.630498724342503
-0.8998998998998999,-3.254282634572753
-0.8978978978978979,-2.2380908720663757
-0.8958958958958959,-3.08680108089548
-0.8938938938938938,-2.2506653055587047
-0.8918918918918919,-2.2417871907851374
-0.8898898898898899,-1.900274644766201
-0.8878878878878879,-2.3379394046207795
-0.8858858858858859,-2.3985608752617757
-0.8838838838838838,-2.66548256858291
-0.8818818818818819,-2.3516910757300473
-0.8798798798798799,-2.4183021955722737
-0.8778778778778779,-1.9525740274252157
-0.8758758758758759,-2.5223597546748087
-0.8738738738738738,-2.520395356528263
-0.8718718718718719,-2.235049241650101
-0.8698698698698699,-2.6152528369590775
-0.8678678678678678,-2.259731292492603
-0.8658658658658659,-2.2008112350756517
-0.8638638638638638,-2.4127514518150353
-0.8618618618618619,-2.1557667818055943
-0.8598598598598599,-2.172134391911396
-0.8578578578578578,-1.8583111048004566
-0.8558558558558559,-2.4376536940098164
-0.8538538538538538,-1.7958294706725022
-0.8518518518518519,-1.9711411911097745
-0.8498498498498499,-2.2751629410066143
-0.8478478478478478,-1.6933021762865654
-0.8458458458458459,-1.4417943680199419
-0.8438438438438438,-2.2475420624811653
